Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1920-01-03 14:16:00,3746,14028,0,1      詳細不明,3N
1920-01-03 17:42:09,3752,14046,0,1      詳細不明,1N
1920-01-05 10:47:22,2823,12930,0,1      詳細不明,1N
1920-01-05 17:50:57,3939,14158,0,1      詳細不明,1N
1920-01-06,3943,14006,0,1      詳細不明,1N
1920-01-08,3657,14054,0,2      詳細不明,5N
1920-01-08 02:10:00,3639,13927,0,1      詳細不明,1N
1920-01-08 22:31:00,3639,13927,0,1      詳細不明,1N
1920-01-09 09:54:26,4149,14045,0,1      詳細不明,1N
1920-01-10 18:05:38,3939,14158,0,1      詳細不明,1N
1920-01-11 21:31:40,3939,14158,0,1      詳細不明,1N
1920-01-11,3531,13750,0,1      詳細不明,1N
1920-01-12 23:12:39,3752,14046,0,1      詳細不明,1N
1920-01-13 05:56:20,3414,13510,0,1      詳細不明,1N
1920-01-13 09:32:00,3414,13510,0,1      詳細不明,1N
1920-01-14 03:42:19,3939,14158,0,1      詳細不明,2N
1920-01-14 04:15:15,3414,13510,0,1      詳細不明,1N
1920-01-14 07:18:21,3943,14006,0,1      詳細不明,1N
1920-01-14,3404,13434,0,1      詳細不明,1N
1920-01-14 18:46:00,3414,13510,0,1      詳細不明,1N
1920-01-14 23:35:12,2823,12930,0,1      詳細不明,1N
1920-01-16 00:12:01,3249,13042,0,1      詳細不明,2N
1920-01-16 08:56:00,3639,13927,0,1      詳細不明,1N
1920-01-17 04:15:13,3615,13758,0,1      詳細不明,1N
1920-01-18 14:24:43,3540,13833,0,1      詳細不明,1N
1920-01-20 11:24:08,3615,13758,0,1      詳細不明,1N
1920-01-20 13:10:20,2420,12410,0,1      詳細不明,1N
1920-01-20,3414,13510,0,1      詳細不明,1N
1920-01-20 14:43:20,3414,13510,0,1      詳細不明,1N
1920-01-23 06:43:28,2420,12410,0,1      詳細不明,1N
1920-01-23 12:36:30,3440,13355,0,1      詳細不明,1N
1920-01-23,3441,13511,0,1      詳細不明,1N
1920-01-24 13:34:14,3639,13927,0,1      詳細不明,1N
1920-01-25 12:49:48,2823,12930,0,1      詳細不明,3N
1920-01-25,2823,12930,0,1      詳細不明,1N
1920-01-25 22:20:10,3414,13510,0,1      詳細不明,1N
1920-01-27 05:11:21,3623,14028,0,1      詳細不明,1N
1920-01-30 09:57:20,3414,13510,0,1      詳細不明,1N
1920-01-30 20:25:03,3414,13510,0,1      詳細不明,1N
1920-02-01 05:11:16,3908,14108,0,3      詳細不明,3N
1920-02-02 22:40:30,3414,13510,0,1      詳細不明,1N
1920-02-03 14:34:36,3327,13546,0,1      詳細不明,1N
1920-02-04 16:35:30,3414,13510,0,1      詳細不明,1N
1920-02-05,4149,14045,0,1      詳細不明,1N
1920-02-05 20:04:41,2823,12930,0,1      詳細不明,1N
1920-02-05 23:44:30,3441,13531,0,1      詳細不明,2N
1920-02-06 06:07:38,3623,14028,0,1      詳細不明,3N
1920-02-07 01:30:00,3752,14046,0,1      詳細不明,1N
1920-02-07 08:15:06,2823,12930,0,1      詳細不明,1N
1920-02-07 22:14:30,3414,13510,0,1      詳細不明,1N
1920-02-08 02:49:15,3414,13510,0,1      詳細不明,1N
1920-02-08 12:05:17,3541,13945,0,1      詳細不明,1N
