Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1919-01-01 12:15:37,3414,13510,0,1      詳細不明,1N
1919-01-02 18:47:43,3826,14118,0,1      詳細不明,1N
1919-01-03 02:00:06,4259,14423,0,1      詳細不明,1N
1919-01-03 09:32:01,3244,12952,0,1      詳細不明,1N
1919-01-05 02:46:25,2706,14211,0,1      詳細不明,1N
1919-01-05 03:13:30,2823,12930,0,1      詳細不明,1N
1919-01-05 06:05:00,3613,14006,0,1      詳細不明,1N
1919-01-06 06:42:00,2420,12410,0,1      詳細不明,1N
1919-01-07 06:28:00,3639,13927,0,1      詳細不明,1N
1919-01-07 13:00:24,3506,13851,0,1      詳細不明,1N
1919-01-09 01:32:32,3752,14046,0,1      詳細不明,2N
1919-01-09,3615,13758,0,1      詳細不明,1N
1919-01-09,3615,13758,0,2      詳細不明,1N
1919-01-09 21:44:46,2823,12930,0,1      詳細不明,1N
1919-01-10 02:03:00,3615,13758,0,1      詳細不明,1N
1919-01-10,3615,13758,0,1      詳細不明,1N
1919-01-10 14:43:50,3639,13927,0,2      詳細不明,1N
1919-01-11 09:02:00,3249,13042,0,1      詳細不明,1N
1919-01-11 16:59:03,2706,14211,0,1      詳細不明,1N
1919-01-11 23:36:09,3444,13631,0,1      詳細不明,1N
1919-01-17 20:47:22,3133,13033,0,1      詳細不明,1N
1919-01-18 02:33:46,2612,12741,0,1      詳細不明,1N
1919-01-22 05:28:11,2823,12930,0,1      詳細不明,1N
1919-01-23 23:10:03,2823,12930,0,1      詳細不明,1N
1919-01-26 05:31:41,2706,14211,0,2      詳細不明,1N
1919-01-28 17:15:30,4320,14535,0,1      詳細不明,1N
1919-01-28 18:29:15,3826,14118,0,1      詳細不明,1N
1919-01-29 12:25:00,4259,14423,0,1      詳細不明,1N
1919-01-30 14:07:00,3306,13947,0,1      詳細不明,1N
1919-01-30 22:27:57,2823,12930,0,1      詳細不明,1N
1919-01-31 16:49:43,2823,12930,0,1      詳細不明,1N
1919-02-02 07:01:49,3613,14006,0,1      詳細不明,1N
1919-02-03 06:01:28,2420,12410,0,1      詳細不明,1N
