Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1925-01-01 05:49:26,3506,13851,0,1      詳細不明,1N
1925-01-01 16:28:43,3414,13510,0,1      詳細不明,1N
1925-01-02 18:09:17,3613,14006,0,1      詳細不明,1N
1925-01-02 20:45:35,3414,13510,0,1      詳細不明,1N
1925-01-03 09:35:44,3623,14028,0,1      詳細不明,1N
1925-01-03 17:18:22,4258,14424,0,1      詳細不明,2N
1925-01-04 03:22:16,3414,13510,0,1      詳細不明,1N
1925-01-04 11:48:40,3414,13510,0,1      詳細不明,1N
1925-01-04 15:53:13,3939,14158,0,1      詳細不明,1N
1925-01-05 04:38:26,3414,13510,0,1      詳細不明,1N
1925-01-06 23:36:24,3745,14028,0,1      詳細不明,2N
1925-01-07 13:14:51,3613,14006,0,1      詳細不明,1N
1925-01-08 03:37:35,4255,14313,0,1      詳細不明,1N
1925-01-08 17:33:03,3639,13927,0,1      詳細不明,1N
1925-01-09 06:52:35,3752,14046,0,1      詳細不明,1N
1925-01-09 14:08:28,3544,14052,0,1      詳細不明,1N
1925-01-10 23:58:52,3539,13604,0,2      詳細不明,3N
1925-01-11 09:41:44,4320,14535,0,1      詳細不明,1N
1925-01-11 12:05:35,3414,13510,0,1      詳細不明,1N
1925-01-13 21:39:34,3414,13510,0,1      詳細不明,1N
1925-01-14 13:38:02,3517,13940,0,2      詳細不明,1N
1925-01-14 21:40:39,3414,13510,0,1      詳細不明,1N
1925-01-14 21:41:06,3414,13510,0,1      詳細不明,1N
1925-01-14 22:17:24,3414,13510,0,1      詳細不明,1N
1925-01-15 05:50:47,3624,13904,0,3      詳細不明,1N
1925-01-15 06:25:29,3609,13923,0,1      詳細不明,1N
1925-01-15 06:57:07,3414,13510,0,1      詳細不明,1N
1925-01-15 07:00:28,3316,13018,0,1      詳細不明,1N
1925-01-15 08:01:24,3544,14052,0,1      詳細不明,1N
1925-01-15 11:26:05,3609,13923,0,1      詳細不明,1N
1925-01-15 13:30:14,3609,13923,0,1      詳細不明,1N
1925-01-15 16:47:56,3624,13904,0,2      詳細不明,1N
1925-01-16 03:17:47,3414,13510,0,1      詳細不明,1N
1925-01-16 19:08:15,3517,13940,0,2      詳細不明,1N
1925-01-17 21:48:56,3414,13510,0,1      詳細不明,1N
1925-01-18 00:44:03,3939,14158,0,1      詳細不明,1N
1925-01-18 01:56:42,3436,13851,0,1      詳細不明,2N
1925-01-18,N/A,N/A,74,J    321  8400北西太平洋,2K
1925-01-18 21:22:35,3603,13614,0,1      詳細不明,1N
1925-01-19 17:36:14,3414,13510,0,1      詳細不明,1N
1925-01-20 23:44:08,3414,13510,0,1      詳細不明,1N
1925-01-21 09:51:48,3414,13510,0,1      詳細不明,1N
1925-01-22 01:44:28,4320,14535,0,1      詳細不明,1N
1925-01-22 05:00:04,3939,14158,0,1      詳細不明,1N
1925-01-22 20:30:03,3414,13510,0,1      詳細不明,1N
1925-01-22 23:30:54,3414,13510,0,1      詳細不明,1N
1925-01-23 06:39:53,3414,13233,0,1      詳細不明,1N
1925-01-23 14:57:05,3708,14013,0,1      詳細不明,1N
1925-01-23 21:02:29,3414,13510,0,1      詳細不明,1N
1925-01-24 16:21:06,2823,12930,0,1      詳細不明,1N
1925-01-24 17:30:30,3613,14006,0,1      詳細不明,1N
1925-01-25 13:28:00,3613,14006,0,1      詳細不明,1N
1925-01-25 18:39:57,3613,14006,0,1      詳細不明,2N
1925-01-26 06:32:04,3327,13546,0,1      詳細不明,1N
1925-01-27 19:23:14,2705,14212,0,1      詳細不明,1N
1925-01-28 09:22:30,3657,14054,0,1      詳細不明,1N
1925-01-28 13:26:03,4320,14535,0,1      詳細不明,1N
1925-01-28 13:36:15,3752,14046,0,1      詳細不明,1N
1925-01-28 13:41:24,4320,14535,0,1      詳細不明,1N
1925-01-28 15:24:14,3623,14028,0,1      詳細不明,1N
1925-01-29 07:25:55,3244,12952,0,1      詳細不明,1N
1925-01-30 02:17:38,3414,13510,0,1      詳細不明,1N
1925-01-31 02:31:56,4255,14313,0,1      詳細不明,1N
1925-01-31 08:03:48,3613,14006,0,1      詳細不明,1N
1925-02-01,3441,13511,0,1      詳細不明,1N
1925-02-02 00:33:34,3414,13510,0,2      詳細不明,1N
1925-02-02,N/A,N/A,0,60     62J    321  1 27根室半島南東沖,3K
1925-02-03,N/A,N/A,62,J    321  1 26北海道東方沖,4K
1925-02-03 04:44:39,3414,13510,0,1      詳細不明,1N
1925-02-03,N/A,N/A,68,J    322  1 26北海道東方沖,7K
1925-02-03 04:59:03,4258,14424,0,1      詳細不明,2N
1925-02-03 06:31:00,4320,14535,0,1      詳細不明,1N
1925-02-03,14730,N/A,N/A,J    321  1 26北海道東方沖,2K
1925-02-03 08:37:36,4258,14424,0,1      詳細不明,1N
1925-02-03 14:57:11,3414,13510,0,1      詳細不明,1N
1925-02-03 17:17:40,4320,14535,0,1      詳細不明,1N
1925-02-03 19:05:46,3544,14052,0,1      詳細不明,1N
1925-02-03 21:45:18,4320,14535,0,1      詳細不明,1N
1925-02-05,3420,13454,0,1      詳細不明,2N
1925-02-07 11:51:32,3613,14006,0,1      詳細不明,1N
1925-02-08 11:17:31,3414,13510,0,1      詳細不明,1N
1925-02-09 12:44:29,3404,13435,0,1      詳細不明,1N
1925-02-09 19:51:19,3506,13851,0,1      詳細不明,1N
1925-02-09 21:38:28,3404,13435,0,1      詳細不明,1N
1925-02-10 18:15:29,3455,13950,0,1      詳細不明,1N
1925-02-12 05:19:56,3414,13510,0,1      詳細不明,1N
1925-02-12 21:02:25,3544,14052,0,1      詳細不明,1N
1925-02-13 21:56:35,3414,13510,0,1      詳細不明,1N
1925-02-14 02:36:42,3155,13125,0,2      詳細不明,1N
1925-02-14 17:16:52,3613,14006,0,1      詳細不明,1N
1925-02-17 17:10:13,3414,13510,0,1      詳細不明,1N
1925-02-18 00:10:09,3613,14006,0,1      詳細不明,1N
1925-02-18 06:21:45,2420,12410,0,1      詳細不明,1N
1925-02-18 17:09:58,3939,14158,0,3      詳細不明,4N
1925-02-19 03:18:48,3414,13510,0,1      詳細不明,1N
1925-02-19 07:44:30,3414,13510,0,1      詳細不明,1N
1925-02-20 03:32:57,3414,13510,0,1      詳細不明,1N
1925-02-20 07:25:01,4320,14535,0,1      詳細不明,1N
1925-02-20,N/A,N/A,0,60     70J    322  8324千島列島,7K
1925-02-22 23:09:16,3544,14052,0,1      詳細不明,1N
1925-02-23 02:50:10,3414,13510,0,1      詳細不明,1N
1925-02-23 10:17:07,3544,14052,0,1      詳細不明,1N
1925-02-23 13:58:40,3544,14052,0,1      詳細不明,1N
1925-02-24 04:44:37,3414,13510,0,1      詳細不明,1N
1925-02-24 06:50:44,3544,14052,0,1      詳細不明,1N
1925-02-24 21:28:12,3414,13510,0,1      詳細不明,1N
1925-02-25 03:32:30,3414,13510,0,1      詳細不明,1N
1925-02-25 06:43:23,4320,14535,0,1      詳細不明,1N
1925-02-26 09:49:40,4320,14535,0,1      詳細不明,1N
1925-03-02 06:19:10,3414,13510,0,1      詳細不明,1N
1925-03-02 12:44:37,3623,14028,0,1      詳細不明,2N
1925-03-02 15:34:32,3414,13510,0,1      詳細不明,1N
1925-03-03 00:28:10,3414,13510,0,1      詳細不明,1N
1925-03-03 01:07:47,3613,14006,0,1      詳細不明,2N
1925-03-03 18:00:31,3613,14006,0,1      詳細不明,1N
1925-03-04 14:16:56,3510,13658,0,1      詳細不明,1N
1925-03-04 21:02:37,3414,13233,0,1      詳細不明,1N
1925-03-05 01:11:12,3414,13510,0,1      詳細不明,1N
1925-03-05 19:04:14,3531,13750,0,1      詳細不明,1N
1925-03-06 05:40:29,3414,13510,0,1      詳細不明,1N
1925-03-06 21:23:00,4320,14535,0,1      詳細不明,1N
1925-03-07 02:31:43,3524,13646,0,1      詳細不明,1N
1925-03-09 18:20:28,3244,12952,0,1      詳細不明,1N
1925-03-10 04:02:48,3657,14054,0,2      詳細不明,1N
1925-03-11 11:11:30,2420,12410,0,2      詳細不明,1N
1925-03-11 14:42:13,3414,13510,0,1      詳細不明,1N
1925-03-11 14:46:28,3414,13510,0,1      詳細不明,1N
1925-03-11 22:46:08,3414,13510,0,1      詳細不明,1N
