Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1927-01-01 04:19,3414,13510,0,1      詳細不明,1N
1927-01-02 12:34,2612,12741,0,1      詳細不明,1N
1927-01-04 16:38,3414,13510,0,1      詳細不明,1N
1927-01-04 17:56,3613,14006,0,1      詳細不明,1N
1927-01-06 05:35,3532,13450,0,1      詳細不明,1N
1927-01-06 08:30,4259,14424,0,2      詳細不明,2N
1927-01-06 16:02,2823,12930,0,1      詳細不明,1N
1927-01-08 07:24,3414,13510,0,1      詳細不明,1N
1927-01-09 06:39,3908,14108,0,2      詳細不明,1N
1927-01-09 20:45,4320,14535,0,1      詳細不明,1N
1927-01-10 06:27,3414,13510,0,1      詳細不明,1N
1927-01-10 06:37,4320,14535,0,1      詳細不明,1N
1927-01-11 08:11,3623,14028,0,1      詳細不明,2N
1927-01-12 20:52,3357,13056,0,1      詳細不明,1N
1927-01-13 19:27,3357,13056,0,1      詳細不明,1N
1927-01-18 11:26,3414,13510,0,1      詳細不明,1N
1927-01-18 15:10,3614,14012,0,1      詳細不明,1N
1927-01-18 15:57,3414,13510,0,1      詳細不明,1N
1927-01-18 19:55,3614,14012,0,1      詳細不明,1N
1927-01-23 21:25,3939,14158,0,1      詳細不明,1N
1927-01-24 01:48,3509,14019,0,1      詳細不明,1N
1927-01-24 09:43,3942,14110,0,1      詳細不明,1N
1927-01-26 11:03,3414,13510,0,1      詳細不明,1N
1927-01-27 02:34,2823,12930,0,1      詳細不明,1N
1927-01-27 09:29,3531,13750,0,1      詳細不明,1N
1927-01-30 05:28,2823,12930,0,1      詳細不明,1N
1927-01-30 21:58,3414,13510,0,1      詳細不明,1N
1927-01-31 04:36,3633,13952,0,1      詳細不明,1N
1927-01-31 13:43,3531,13750,0,1      詳細不明,1N
1927-02-02 13:31,3623,14028,0,1      詳細不明,2N
1927-02-02 23:59,2823,12930,0,1      詳細不明,1N
1927-02-03 12:15,3244,12952,0,1      詳細不明,1N
1927-02-04 15:22,3244,12952,0,1      詳細不明,1N
1927-02-05 07:46,4210,14247,0,1      詳細不明,1N
1927-02-06 13:10:29,2612,12741,0,1      詳細不明,1N
1927-02-07 16:27,3524,13646,0,1      詳細不明,2N
1927-02-08 22:05,3623,14028,0,1      詳細不明,1N
1927-02-08 23:58,3623,14028,0,1      詳細不明,2N
1927-02-09 00:09,3414,13510,0,1      詳細不明,1N
1927-02-11 00:23,3244,12952,0,1      詳細不明,2N
1927-02-11 01:04,3244,12952,0,1      詳細不明,1N
1927-02-11 01:26,3414,13510,0,1      詳細不明,1N
1927-02-11 07:16,3414,13510,0,1      詳細不明,1N
1927-02-11 07:18,3414,13510,0,1      詳細不明,1N
1927-02-11 10:52:40,3639,13927,0,1      詳細不明,1N
1927-02-11 18:16,3414,13510,0,1      詳細不明,1N
1927-02-12 00:27,3414,13510,0,1      詳細不明,1N
1927-02-12 01:37,3623,14028,0,1      詳細不明,2N
1927-02-12 09:52,3734,14007,0,1      詳細不明,1N
1927-02-13 07:39,4320,14535,0,2      詳細不明,1N
1927-02-14 03:56,4320,14535,0,1      詳細不明,1N
1927-02-14 17:18,3414,13510,0,1      詳細不明,1N
1927-02-17 00:10,4320,14535,0,1      詳細不明,1N
1927-02-17 02:23,3414,13510,0,1      詳細不明,1N
1927-02-17 18:19,2823,12930,0,1      詳細不明,1N
1927-02-20 00:40,3244,13016,0,1      詳細不明,1N
1927-02-20 21:23,3414,13510,0,2      詳細不明,2N
1927-02-21 00:03,3357,13056,0,1      詳細不明,1N
1927-02-22 19:12,4320,14535,0,1      詳細不明,1N
1927-02-23 00:57,3815,14021,0,1      詳細不明,1N
1927-02-24 13:53,3517,13940,0,2      詳細不明,1N
1927-02-27 01:29,3939,14158,0,1      詳細不明,1N
1927-03-01 03:06,3414,13510,0,1      詳細不明,1N
1927-03-01 20:02,3414,13510,0,1      詳細不明,1N
1927-03-03 01:43,3524,13646,0,1      詳細不明,1N
