Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1923-01-01 15:05:26,3540,13833,0,1      詳細不明,2N
1923-01-03 07:42:04,2420,12410,0,1      詳細不明,1N
1923-01-04 02:01:35,4320,14535,0,1      詳細不明,1N
1923-01-04 19:27:12,3414,13510,0,1      詳細不明,1N
1923-01-05 13:40:46,3414,13510,0,1      詳細不明,1N
1923-01-05 14:59:28,4255,14313,0,3      詳細不明,1N
1923-01-05 19:50:22,3939,14158,0,1      詳細不明,1N
1923-01-06 18:22:10,3623,14028,0,1      詳細不明,2N
1923-01-06 20:05:26,3613,14006,0,1      詳細不明,1N
1923-01-06 22:22:27,3414,13510,0,1      詳細不明,1N
1923-01-08 13:46:44,3613,14006,0,1      詳細不明,3N
1923-01-08 16:36:34,3623,14028,0,1      詳細不明,1N
1923-01-09 18:29:32,2823,12930,0,1      詳細不明,2N
1923-01-09 18:37:19,3414,13510,0,1      詳細不明,1N
1923-01-09 22:32:02,3745,14028,0,1      詳細不明,2N
1923-01-10 07:05:31,3657,14054,0,2      詳細不明,7N
1923-01-10 09:48:43,3414,13510,0,1      詳細不明,1N
1923-01-10 13:13:30,3623,14028,0,1      詳細不明,1N
1923-01-10 14:25:00,3623,14028,0,1      詳細不明,3N
1923-01-10 17:20:02,3414,13510,0,1      詳細不明,1N
1923-01-12 06:19:09,3414,13510,0,1      詳細不明,1N
1923-01-13 09:38:47,3939,14158,0,1      詳細不明,1N
1923-01-14 05:37:00,3404,13435,0,1      詳細不明,1N
1923-01-14 10:44:30,3939,14158,0,1      詳細不明,1N
1923-01-14 13:37:48,3623,14028,0,1      詳細不明,1N
1923-01-14 14:37:37,3613,14006,0,1      詳細不明,1N
1923-01-15 13:51:12,3414,13510,0,1      詳細不明,1N
1923-01-16 03:49:23,3414,13510,0,1      詳細不明,1N
1923-01-18 12:37:50,3639,13927,0,1      詳細不明,1N
1923-01-18 13:48:31,3414,13510,0,1      詳細不明,1N
1923-01-18 20:12:47,3414,13510,0,1      詳細不明,1N
1923-01-19 05:31:13,3414,13510,0,1      詳細不明,1N
1923-01-19 09:41:02,3327,13546,0,1      詳細不明,1N
1923-01-19 22:51:13,3414,13510,0,1      詳細不明,1N
1923-01-20 07:38:26,3313,13233,0,2      詳細不明,3N
1923-01-20 20:54:34,3414,13510,0,1      詳細不明,1N
1923-01-24 04:41:11,3414,13233,0,1      詳細不明,1N
1923-01-25 02:29:46,4320,14535,0,1      詳細不明,1N
1923-01-25 11:43:58,3939,14158,0,1      詳細不明,1N
1923-01-25 18:23:55,3613,14006,0,1      詳細不明,1N
1923-01-25 23:55:41,3414,13510,0,1      詳細不明,1N
1923-01-27 09:17:59,3414,13510,0,1      詳細不明,1N
1923-01-27 15:41:49,3444,13631,0,1      詳細不明,1N
1923-01-29 18:52:52,4255,14313,0,2      詳細不明,2N
1923-01-30 14:00:38,3623,14028,0,1      詳細不明,2N
1923-01-30 18:35:52,3414,13510,0,1      詳細不明,1N
1923-02-01 07:11:10,3412,12918,0,1      詳細不明,1N
1923-02-01 13:30:13,4149,14045,0,1      詳細不明,2N
1923-02-01 17:45:53,3613,14006,0,1      詳細不明,1N
1923-02-02 05:10:59,3244,12952,0,1      詳細不明,1N
1923-02-03 14:36:51,3414,13510,0,1      詳細不明,1N
1923-02-03 17:00:30,3633,13952,0,1      詳細不明,1N
1923-02-04 22:46:18,3939,14158,0,1      詳細不明,1N
1923-02-05 06:27:58,3745,14028,0,1      詳細不明,1N
