Timestamp,Latitude,Longitude,Intensity,Location Description,Metadata
1991-01-01 21:06:305,36288,141116,396,44J43V1112  3111茨城県沖,3K
1991-01-02 01:01:309,42580,145245,429,39V   1112  1 27釧路沖,1K
1991-01-02 17:23:465,35064,140418,513,42J38V1111  3109千葉県東方沖,1K
1991-01-04 21:22:554,36290,140360,569,35V   1112  3 86茨城県北部,2K
1991-01-06 03:50:262,43570,147284,78,V   1212  1 26北海道東方沖,1K
1991-01-07 02:15:276,33140,140325,556,45J41V1111  8330八丈島東方沖,1K
1991-01-07 07:07:136,43165,146223,463,44V   1112  1 27根室半島南東沖,2K
1991-01-07 08:56:431,33310,132207,603,46J43V1112  6244伊予灘,5K
1991-01-07 13:26:051,34388,135556,140,35J38V1113  5194奈良県,5K
1991-01-07 23:54:196,36046,139571,563,40J38V1112  3 88茨城県南部,5K
1991-01-09 10:33:547,35128,140185,285,26V   1111  3 94千葉県南部,1K
1991-01-10 08:58:477,24517,125043,28,V   1211  7293宮古島近海,1K
1991-01-10,2823,12930,0,1      詳細不明,1N
1991-01-13 16:05:490,28162,129197,36,V   1213  7296奄美大島近海,1K
1991-01-13 16:51:061,35305,141126,319,45J43V1112  3110千葉県東方沖,1K
1991-01-13 22:13:239,38593,141265,847,32V   1111  2 49岩手県内陸南部,1K
1991-01-15 05:18:316,32451,130143,63,29V   1113  7267長崎県島原半島,1K
1991-01-15 13:55:264,32448,130128,70,21V   1111  7267橘湾,1K
1991-01-16 06:00:356,32444,130143,64,16V   1111  7267長崎県島原半島,1K
1991-01-16 13:51:112,35251,140190,381,38J36V1111  3 94千葉県北東部,2K
1991-01-16 17:21:350,35120,140159,161,24V   1111  3 94千葉県南部,1K
1991-01-16 21:41:249,32320,132058,385,43J36V1111  7300日向灘,1K
1991-01-16 23:49:218,38153,141537,485,49J49V1113  2 65宮城県沖,7K
1991-01-17 20:49:180,40574,141571,608,37V   1112  2 60青森県東方沖,1K
1991-01-18 15:20:085,28380,129140,10,7296奄美大島近海,1K
1991-01-19 16:15:475,35066,135405,138,25V   1111  5183京都府南部,1K
1991-01-20 02:59:438,42266,144406,407,40V   1111  1 28釧路沖,1K
1991-01-20 20:07:332,43192,146591,52,J51V1211  1 26北海道東方沖,1K
1991-01-23 01:38:311,32445,130158,45,13V   1111  7267長崎県島原半島,1K
1991-01-23 01:40:380,32457,130165,6,7267長崎県島原半島,1S
1991-01-23 23:33:410,24140,123458,141,23V   1111  7290西表島付近,1K
1991-01-24 07:19:019,24113,123461,152,1112  7290西表島付近,1K
1991-01-24,3244,13016,0,1      詳細不明,1N
1991-01-24,3244,13016,0,2      詳細不明,1N
1991-01-24 16:43:599,24153,123458,129,26V   1113  7290西表島付近,1K
1991-01-24 21:47:132,34129,135087,83,18V   1111  5190紀伊水道,1K
1991-01-25 06:36:277,33442,141144,681,47D47V1111  8330八丈島東方沖,1K
1991-01-25 11:24:396,24154,123459,16,7290西表島付近,1K
1991-01-25 11:27:108,24152,123455,134,26V   1113  7290西表島付近,1K
1991-01-25,2423,12345,0,2      詳細不明,1N
1991-01-26 02:06:160,36180,140509,391,34V   1111  3111茨城県沖,1K
1991-01-26 04:38:471,35314,138571,242,30V   1111  4152山梨県東部・富士五湖,1K
1991-01-26 10:09:568,32442,130139,80,27V   1112  7267長崎県島原半島,1K
1991-01-26,2423,12345,0,2      詳細不明,1N
1991-01-27,2423,12345,0,2      詳細不明,1N
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27 09:30:599,24170,123455,9,7290西表島付近,1K
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27 18:56:466,39462,141581,680,47D50V1113  2 48岩手県沿岸北部,4K
1991-01-27 23:26:275,24152,123454,6,V   1211  7290西表島付近,1K
1991-01-27,2423,12345,0,1      詳細不明,1N
1991-01-27,2423,12345,0,2      詳細不明,1N
1991-01-28,2423,12345,0,1      詳細不明,1N
1991-01-28,2423,12345,0,1      詳細不明,1N
1991-01-28 02:13:330,24113,123456,122,23V   1112  7290西表島付近,1K
1991-01-28,2423,12345,0,1      詳細不明,1N
1991-01-29 02:03:411,24110,123455,122,26V   1111  7290西表島付近,1K
1991-01-29,2423,12345,0,2      詳細不明,1N
1991-01-29,2423,12345,0,1      詳細不明,1N
1991-01-29 14:35:436,32038,130108,94,28V   1111  7283天草灘,1K
1991-01-29 21:32:072,41577,142302,646,36V   1111  1 30浦河沖,1K
1991-01-30 08:01:387,35272,138585,187,30V   1111  4152神奈川県西部,1K
1991-01-31 20:41:369,34142,135132,57,1111  5190和歌山県北部,1K
1991-02-02 15:20:475,33197,130568,76,26V   1112  7280大分県西部,1K
1991-02-02 16:24:472,24153,123451,6,V   1212  7290西表島付近,1K
1991-02-02,2423,12345,0,1      詳細不明,1N
1991-02-03 00:00:151,39403,142110,499,46J45V1112  2 62岩手県沖,3K
1991-02-03 06:17:291,39309,142227,529,40V   1111  2 62岩手県沖,2K
1991-02-03 06:42:194,24145,123454,156,26V   1112  7290西表島付近,1K
1991-02-03,2423,12345,0,1      詳細不明,1N
1991-02-03,2423,12345,0,1      詳細不明,1N
1991-02-03,2423,12345,0,2      詳細不明,1N
1991-02-03 17:09:341,39417,142089,467,30V   1111  2 62岩手県沖,1K
1991-02-04 02:57:545,24241,123452,54,28V   1112  7290西表島付近,1K
1991-02-04,2423,12345,0,2      詳細不明,1N
1991-02-04,2423,12345,0,2      詳細不明,1N
1991-02-04,2423,12345,0,1      詳細不明,1N
1991-02-04,2423,12345,0,1      詳細不明,1N
1991-02-04 12:30:381,36424,139239,110,25V   1111  3 83栃木県北部,1K
1991-02-04 15:09:494,36092,140067,768,41D37V1112  3 88茨城県南部,3K
1991-02-04,2423,12345,0,1      詳細不明,1N
1991-02-05,2423,12345,0,2      詳細不明,1N
1991-02-05 10:43:490,36575,139424,82,35V   1112  3 84栃木県北部,1K
1991-02-05,3244,13016,0,1      詳細不明,1N
1991-02-05,2423,12345,0,2      詳細不明,1N
1991-02-05,2423,12345,0,1      詳細不明,1N
1991-02-05,2423,12345,0,1      詳細不明,1N
1991-02-06,2423,12345,0,1      詳細不明,1N
1991-02-07 05:09:465,34165,135131,95,17V   1111  5190和歌山県北部,1K
1991-02-07 08:35:403,24126,123452,147,27V   1112  7290西表島付近,1K
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07,2423,12345,0,1      詳細不明,1N
1991-02-07 22:13:165,36050,139549,545,26V   1111  3 88茨城県南部,1K
1991-02-07 23:32:275,24234,123461,105,18V   1112  7290西表島付近,1K
1991-02-08 02:48:283,42588,146049,380,45V   1111  1 27根室半島南東沖,2K
1991-02-08 07:52:499,32370,131407,551,39J34V1111  7278宮崎県北部平野部,1K
1991-02-08,3244,13016,0,1      詳細不明,1N
1991-02-08,2423,12345,0,1      詳細不明,1N
1991-02-08,2423,12345,0,1      詳細不明,1N
1991-02-09 16:16:370,36027,137328,83,38V   1111  4148岐阜県飛騨地方,1K
1991-02-09 22:22:418,24191,123453,11,7290西表島付近,1K
1991-02-09 23:16:542,36239,140347,562,23V   1111  3 86茨城県北部,1K
1991-02-10 15:04:004,25083,125044,75,32V   1111  7293宮古島近海,1K
1991-02-13 00:30:458,24308,123473,3,J40V1214  7290西表島付近,2K
1991-02-13 00:34:492,24164,123447,7,7290西表島付近,1K
1991-02-13 00:36:504,24161,123457,7,V   1211  7290西表島付近,1K
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13 02:31:205,24199,123454,13,7290西表島付近,1K
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13 03:01:015,24177,123448,11,V   1212  7290西表島付近,1K
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
1991-02-13,2423,12345,0,1      詳細不明,1N
